glbNodeCode,serviceCode,regionId
N02001,SKYLIFE,AAA
N02007,SKYLIFE,AAA
N31007,SKYLIFE,AAA
N32001,SKYLIFE,AAA
N51004,SKYLIFE,AAA
N55003,SKYLIFE,AAA
N61001,SKYLIFE,AAA
N64001,SKYLIFE,AAA
N31010,SKYLIFE,BBB
N62001,SKYLIFE,BBB
N02004,SKYLIFE,BBB
N42001,SKYLIFE,BBB
N54003,SKYLIFE,BBB
N31009,SKYLIFE,BBB
N55001,SKYLIFE,BBB
N55002,SKYLIFE,BBB
N70002,SKYLIFE,BBB
N31006,SKYLIFE,BBB
N51003,SKYLIFE,CCC
N31002,SKYLIFE,CCC
N51001,SKYLIFE,CCC
N53001,SKYLIFE,CCC
N02008,SKYLIFE,CCC
N31003,SKYLIFE,CCC
N33001,SKYLIFE,CCC
N63003,SKYLIFE,CCC
N63004,SKYLIFE,CCC
N41001,SKYLIFE,CCC
N43002,SKYLIFE,CCC
N61002,SKYLIFE,CCC
N54002,SKYLIFE,CCC
N55004,SKYLIFE,CCC
N02005,SKYLIFE,CCC
N41002,SKYLIFE,CCC
N54001,SKYLIFE,CCC
N63001,SKYLIFE,CCC
N700002,SKYLIFE,CCC
N31004,SKYLIFE,CCC
N43001,SKYLIFE,CCC
N62002,SKYLIFE,CCC
N31001,SKYLIFE,CCC
N31008,SKYLIFE,CCC
N02002,SKYLIFE,DDD
N33002,SKYLIFE,DDD
N51002,SKYLIFE,DDD
N52001,SKYLIFE,DDD
N53003,SKYLIFE,DDD
N33003,SKYLIFE,DDD
N00011,SKYLIFE,DDD
N02003,SKYLIFE,DDD
N02006,SKYLIFE,DDD
N31011,SKYLIFE,DDD
N42002,SKYLIFE,DDD
N02001,OTM,AAA
N02007,OTM,AAA
N31007,OTM,AAA
N32001,OTM,AAA
N51004,OTM,AAA
N55003,OTM,AAA
N61001,OTM,AAA
N64001,OTM,AAA
N31010,OTM,BBB
N62001,OTM,BBB
N02004,OTM,BBB
N42001,OTM,BBB
N54003,OTM,BBB
N31009,OTM,BBB
N55001,OTM,BBB
N55002,OTM,BBB
N70002,OTM,BBB
N31006,OTM,BBB
N51003,OTM,CCC
N31002,OTM,CCC
N51001,OTM,CCC
N53001,OTM,CCC
N02008,OTM,CCC
N31003,OTM,CCC
N33001,OTM,CCC
N63003,OTM,CCC
N63004,OTM,CCC
N41001,OTM,CCC
N43002,OTM,CCC
N61002,OTM,CCC
N54002,OTM,CCC
N55004,OTM,CCC
N02005,OTM,CCC
N41002,OTM,CCC
N54001,OTM,CCC
N63001,OTM,CCC
N700002,OTM,CCC
N31004,OTM,CCC
N43001,OTM,CCC
N62002,OTM,CCC
N31001,OTM,CCC
N31008,OTM,CCC
N02002,OTM,DDD
N33002,OTM,DDD
N51002,OTM,DDD
N52001,OTM,DDD
N53003,OTM,DDD
N33003,OTM,DDD
N00011,OTM,DDD
N02003,OTM,DDD
N02006,OTM,DDD
N31011,OTM,DDD
N42002,OTM,DDD
