officename,officescode
양성분기국사(안성),R05714
노곡분기국사(안성),R05715
일죽분기국사(안성),R05718
방초분기국사(안성),R05719
첨단국사,R02887
여량분기국사(정선),R06068
죽산분기국사(안성),R05720
당목분기국사(안성),R05721
삼죽분기국사(안성),R05722
낙월분기국사,R06709
안마분기국사,R06710
충도분기국사,R06730
월진분기국사(하동),R07572
미사분기국사(하남),R08493
성은분기국사(평택),R05716
원곡분기국사(평택),R05717
매송분기국사(서수원),R05740
원리분기국사(서수원),R05741
비봉분기국사(남양),R05742
자안분기국사(남양),R05743
고정분기국사(남양),R05745
마전분기국사(안성),R05723
금계분기국사(가경),F01308
속리분기국사(보은),F01313
삼가분기국사(보은),F01314
외속리분기국사(보은),F01315
마로분기국사(보은),F01316
세중분기국사(보은),F01317
탄부분기국사(보은),F01318
원남분기국사(보은),F01319
구절분기국사(정선),R06069
숙암분기국사(정선),R06070
도전분기국사(정선),R06071
임계분기국사(정선),R06072
동점분기국사(화광),R05934
철암분기국사(화광),R05935
소도분기국사(태백),R05936
어룡분기국사(태백),R05937
연화분기국사(태백),R05938
상사미분기국사(태백),R05940
고사분기국사(도계),R05943
점리분기국사(도계),R05944
경동분기국사(도계),R05945
덕우분기국사(정선),R06057
용탄분기국사(정선),R06058
광하분기국사(정선),R06059
고한분기국사(사음),R06060
화암분기국사(정선),R06063
풍촌분기국사(정선),R06064
백전분기국사(사음),R06065
남면분기국사(사음),R06066
증산분기국사(사음),R06067
골지분기국사(정선),R06073
반천분기국사(정선),R06074
고전분기국사(하동),R07573
신흥분기국사(제주남원),R07682
신산분기국사(성산포),R07683
서광분기국사(모슬포),R07684
성읍분기국사(표선),R07685
와산분기국사(성산포),R08311
묘산분기국사(합천),R07637
매안분기국사(합천),R07638
황산분기국사(합천),R07639
해인사분기국사(합천),R07640
야로분기국사(합천),R07641
와리분기국사(합천),R07642
화봉분기국사(신태인),R06203
유정분기국사(신태인),R06204
함열국사,R03388
모슬포국사,R03791
망성분기국사(함열),R06179
동촌분기국사(함열),R06180
여산분기국사(부송),R06181
금마분기국사(부송),R06182
남해국사,R01153
거창국사,R01202
양평국사,R00755
익산국사,R03186
부송국사,R03200
